"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Dante Exum",3000,"WAS@UTA 12/04/2017 09:00PM ET",0.000,"UTA"
"SG","Devin Robinson",3000,"WAS@UTA 12/04/2017 09:00PM ET",0,"WAS"
"SF/PF","Eric Griffin",3000,"WAS@UTA 12/04/2017 09:00PM ET",0.000,"UTA"
"SF/PF","TJ Leaf",3000,"NY@IND 12/04/2017 07:00PM ET",7.421,"IND"
"PG/SG","Joe Young",3000,"NY@IND 12/04/2017 07:00PM ET",4.688,"IND"
"SG/SF","Damien Wilkins",3000,"NY@IND 12/04/2017 07:00PM ET",3.188,"IND"
"PG/SG","Ron Baker",3000,"NY@IND 12/04/2017 07:00PM ET",9.700,"NY"
"SF","Alex Poythress",3000,"NY@IND 12/04/2017 07:00PM ET",1.917,"IND"
"PF/C","Ike Anigbogu",3000,"NY@IND 12/04/2017 07:00PM ET",2.000,"IND"
"PF","Luke Kornet",3000,"NY@IND 12/04/2017 07:00PM ET",0.000,"NY"
"PG","Edmond Sumner",3000,"NY@IND 12/04/2017 07:00PM ET",0,"IND"
"PF","Isaiah Hicks",3000,"NY@IND 12/04/2017 07:00PM ET",0,"NY"
"PG/SG","Aaron Brooks",3000,"MIN@MEM 12/04/2017 08:00PM ET",3.958,"MIN"
"PG/SG","Wayne Selden Jr.",3000,"MIN@MEM 12/04/2017 08:00PM ET",8.250,"MEM"
"SG","Kobi Simmons",3000,"MIN@MEM 12/04/2017 08:00PM ET",2.000,"MEM"
"PF/C","Ivan Rabb",3000,"MIN@MEM 12/04/2017 08:00PM ET",0.000,"MEM"
"PF","Vince Hunter",3000,"MIN@MEM 12/04/2017 08:00PM ET",4.000,"MEM"
"SG/SF","Marcus Georges-Hunt",3000,"MIN@MEM 12/04/2017 08:00PM ET",0.917,"MIN"
"C","Cole Aldrich",3000,"MIN@MEM 12/04/2017 08:00PM ET",1.150,"MIN"
"C","Justin Patton",3000,"MIN@MEM 12/04/2017 08:00PM ET",0,"MIN"
"SG/SF","Anthony Brown",3000,"MIN@MEM 12/04/2017 08:00PM ET",0,"MIN"
"SG","Malik Beasley",3000,"DEN@DAL 12/04/2017 08:30PM ET",6.139,"DEN"
"C","Jeff Withey",3000,"DEN@DAL 12/04/2017 08:30PM ET",3.781,"DAL"
